item_name,is_expense,quantity,sum_of_one
Nissan,true,4,96
Pontiac,false,721,54
Mazda,false,46,66
Dodge,true,3,45
Mitsubishi,true,52973,79
Pontiac,false,87289,46
Plymouth,true,0,95
Volkswagen,false,3,91
GMC,false,8296,100
Chevrolet,true,36,80
Oldsmobile,false,88328,34
Subaru,true,7,56
Honda,false,7551,22
Ford,true,8740,87
Volkswagen,false,35561,25
Ford,true,0,89
Isuzu,true,375,49
Audi,false,570,98
GMC,false,263,8
Lincoln,false,265,92
Nissan,false,1,14
Cadillac,false,070,59
Acura,false,037,77
Oldsmobile,false,14,83
Lincoln,true,6401,13
Pontiac,false,8152,76
Mercury,true,7196,20
Chrysler,false,59,20
Pontiac,true,592,13
Ford,true,83149,9
Ford,false,593,6
Ford,false,03240,66
Ford,false,0,92
Toyota,true,7264,13
Ford,false,060,12
Volvo,false,03,39
Toyota,false,92316,77
Ford,false,73,46
Lamborghini,false,57,46
Buick,false,7376,55
Audi,false,16571,4
Toyota,false,5926,67
Mitsubishi,false,499,65
Audi,false,84697,61
Chevrolet,false,8,7
Plymouth,false,612,63
Mitsubishi,true,0,80
Lexus,true,9,16
Eagle,true,649,20
Pontiac,false,3,61
Mitsubishi,false,11132,39
Chevrolet,true,8261,44
Mercury,true,98092,47
Mercedes-Benz,true,8,53
Chevrolet,false,0205,23
Mercury,false,5234,76
Mitsubishi,false,613,96
Chevrolet,true,75,1
Ford,true,490,47
GMC,true,95,26
Saturn,false,5485,39
Hyundai,false,567,82
Pontiac,true,5180,89
Ford,false,27,59
Volvo,true,56427,8
Ford,true,064,87
Jeep,true,407,42
Chevrolet,false,248,71
Chevrolet,true,06,94
BMW,true,81,45
Honda,true,72,91
Audi,true,170,50
Toyota,true,4596,75
Mitsubishi,true,6,81
Mazda,true,8284,81
Toyota,false,31,80
Lexus,false,7,12
Toyota,false,0599,1
Mercury,false,79,12
Subaru,false,82,27
Hyundai,false,938,83
Mazda,true,1,83
Chevrolet,true,40399,100
GMC,true,383,84
Pontiac,true,761,3
Dodge,false,37289,98
Chevrolet,false,8,61
Mazda,false,2,91
Volkswagen,false,77,11
Mazda,true,5,67
Pontiac,true,47,6
Aston Martin,false,960,93
Volkswagen,false,410,22
Cadillac,true,721,32
BMW,true,307,51
Chrysler,false,81818,71
Ford,false,7,36
Nissan,true,5960,19
Ford,false,53,55
Volkswagen,false,223,70
GMC,true,264,20
BMW,true,76,4
Chevrolet,true,94,14
Suzuki,true,68941,85
Geo,false,1,46
Chevrolet,true,41238,94
Subaru,true,34,68
Lexus,true,8781,17
Ford,false,07,31
Audi,false,447,45
Ford,true,47400,92
Maybach,true,8627,77
Dodge,false,421,73
Volkswagen,false,7231,36
Isuzu,true,51927,81
Mitsubishi,false,6096,54
Volvo,false,7,32
GMC,true,14404,37
Mazda,true,0991,78
Toyota,false,64354,8
Lincoln,false,63,59
Ford,true,452,79
Toyota,true,61,50
Mitsubishi,false,4601,94
Pontiac,true,52201,30
Toyota,false,9,25
Chevrolet,true,939,45
Dodge,false,05291,67
Audi,true,4529,58
Audi,true,82,6
Kia,false,000,6
Mitsubishi,false,4276,75
Chevrolet,false,0,76
Mitsubishi,true,4542,1
Mercury,false,51,23
Volkswagen,true,551,86
Ford,true,4209,26
Porsche,true,03,84
Nissan,false,7,23
Mercury,false,8,48
Plymouth,false,06116,68
Dodge,true,747,93
Infiniti,false,716,25
Mazda,true,4299,89
Subaru,true,9,55
Lexus,false,92,58
Pontiac,true,194,75
Nissan,false,77110,80
Isuzu,true,86,72
Toyota,true,92175,15
Mazda,false,4,46
Tesla,false,21044,8
Dodge,false,77,60
Mazda,true,4,58
Toyota,true,63043,67
Dodge,true,369,33
Volvo,true,90321,15
Mercury,true,803,88
Chevrolet,true,9,7
Acura,true,21596,1
Oldsmobile,true,2047,53
Ford,true,65511,65
Volvo,true,5113,82
Cadillac,true,851,62
Nissan,false,639,22
Hyundai,false,090,44
Saab,true,1428,26
Pontiac,false,960,94
Dodge,true,4,59
Ford,true,08600,6
Nissan,true,647,18
Hyundai,true,0940,36
Dodge,true,13259,85
Audi,false,6,86
Lincoln,false,63524,60
Oldsmobile,false,951,58
Ford,false,76301,29
Toyota,true,65252,86
Lexus,true,51882,39
Pontiac,true,924,10
Jeep,true,59,80
Mercedes-Benz,true,1,74
Cadillac,false,95,48
Cadillac,false,64947,84
Audi,false,56663,8
Dodge,true,9746,70
Jeep,true,0,70
Honda,false,1,65
Lexus,false,9821,71
Honda,true,1,30
Jaguar,false,20,59
Ford,false,62334,75
Subaru,false,67716,20
Volvo,true,2311,62
Ford,true,8931,83
Ford,false,52,41
Mazda,false,188,100
Chrysler,false,52410,61
Volkswagen,false,2,26
Audi,true,622,80
BMW,true,71221,3
GMC,true,2163,25
Audi,true,80392,54
GMC,true,98688,91
GMC,true,274,55
Chevrolet,false,13442,88
Volkswagen,true,768,58
Ford,true,20,91
Subaru,true,3,48
Ford,true,56474,67
Hyundai,false,21,59
Volkswagen,false,1338,53
Nissan,false,81114,7
Cadillac,true,49116,94
Nissan,true,362,53
Chevrolet,true,6491,86
Dodge,true,63505,50
Mitsubishi,true,559,8
Ford,false,38,14
Toyota,true,6424,18
Honda,false,4,36
Oldsmobile,true,07634,5
GMC,true,2167,39
Nissan,false,3342,77
Mercury,false,24788,92
BMW,false,191,57
BMW,true,431,90
Ford,true,0991,78
Volkswagen,true,81,70
Mitsubishi,false,5,100
Aston Martin,false,0,52
Pontiac,true,06397,86
Suzuki,false,5,15
Infiniti,true,35,50
Maserati,true,09,76
Pontiac,true,317,45
Lotus,true,22685,50
Maserati,true,8695,29
Mazda,false,795,28
Subaru,true,61414,98
Mitsubishi,true,43,25
Toyota,true,24867,91
Volkswagen,false,836,63
Chrysler,true,81,51
Volkswagen,true,8,47
Nissan,true,1312,1
Volkswagen,false,9,50
Pontiac,true,9057,54
Eagle,true,3,84
Land Rover,false,51494,16
Ford,true,6,76
Isuzu,true,13880,41
Chevrolet,true,51258,51
Pontiac,true,3,49
Chevrolet,true,210,11
Ford,true,607,77
BMW,false,92,36
Land Rover,true,01,52
Mercedes-Benz,false,68707,30
Volkswagen,false,66,86
Ford,true,12,5
Honda,true,81,73
Nissan,false,11989,32
Mitsubishi,true,37,16
Acura,false,6,54
Jeep,true,1267,27
Chevrolet,true,87990,17
Volvo,false,87,7
Volkswagen,false,33,60
Toyota,true,17208,51
Nissan,false,9396,28
Ford,true,75,43
Chevrolet,false,4,10
Audi,true,8634,61
Mitsubishi,false,22,79
GMC,true,78977,27
Jeep,true,8,65
Kia,true,4086,2
Nissan,true,54192,13
BMW,true,98,8
Chevrolet,true,5,46
Volkswagen,true,92814,58
Nissan,true,281,12
Volvo,false,487,81
Chevrolet,true,6630,76
Volvo,true,56624,10
Acura,false,5,89
Audi,false,4,39
Mercedes-Benz,true,42022,41
Saturn,false,71559,36
Ford,false,661,7
Ford,true,039,63
GMC,false,7658,64
GMC,true,9,61
GMC,true,170,35
Volkswagen,true,51729,82
Lexus,false,78021,69
Ford,true,8624,38
Toyota,true,29,83
Volkswagen,true,2,59
Dodge,true,86,57
Chevrolet,false,22388,27
Saab,true,9877,46
Pontiac,true,18848,19
Ford,true,2,92
Mazda,true,7566,30
Honda,false,96,97
Mitsubishi,false,50,92
Cadillac,false,6245,41
Chevrolet,true,6532,67
Chrysler,false,96894,82
Chrysler,false,95,51
BMW,true,1,55
